IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
168.63.151.56,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,8075,MICROSOFT-CORP-MSN-AS-BLOCK,371,4.80
47.243.126.79,443,TRUE,SEA,US,North America,Seattle,45102,"Alibaba US Technology Co., Ltd.",831,2.83
206.237.24.40,2083,TRUE,HKG,HK,Asia Pacific,Hong Kong,55933,Cloudie Limited,209,2.82
38.47.122.72,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,55933,Cloudie Limited,166,2.68
47.76.94.15,2087,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",250,1.72
47.76.218.163,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",168,1.66
47.76.189.214,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",157,1.06
47.76.94.15,2053,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",408,0.44
202.81.231.150,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,4658,2012 Limited Netfront,875,0.37
47.76.94.15,2083,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",411,0.17
47.76.178.146,2053,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",338,0.16
8.218.63.172,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",162,0.16
129.227.139.137,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,21859,ZEN-ECN,722,0.06
47.76.178.146,2087,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",940,0.05
47.76.178.146,2083,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",357,0.05
203.184.132.238,1520,TRUE,HKG,HK,Asia Pacific,Hong Kong,137897,"PAN-LIAN TECHNOLOGY CO., LIMITED",859,0.02
47.76.32.108,2083,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",920,0.01
