IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
211.248.216.119,30009,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,216,7.55
45.112.155.186,12314,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,216,7.01
211.208.119.141,30029,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,191,6.96
218.150.71.94,12330,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,245,6.62
211.248.216.119,10018,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,248,6.19
220.122.69.165,12182,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,216,6.15
218.149.151.5,12230,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,236,6.08
118.42.9.31,12136,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,290,5.98
220.124.16.179,30032,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,248,5.69
211.224.115.109,10084,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,601,5.63
175.112.2.137,30060,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,287,5.43
175.121.84.216,21242,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,166,5.42
175.125.207.253,12133,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,286,5.41
183.98.120.11,12266,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,516,5.34
125.133.233.48,30059,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,634,4.93
220.88.191.218,30025,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,201,4.91
121.190.128.166,12345,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,199,4.85
175.125.207.253,12501,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,280,4.70
222.121.231.212,10010,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,538,4.52
121.170.103.123,28818,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,239,4.50
221.157.238.95,12500,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,224,4.46
121.170.103.123,32412,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,216,4.38
218.150.71.1,18051,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,247,4.25
119.207.232.151,12116,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,279,4.24
211.206.53.72,30032,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,149,4.23
222.97.154.21,30017,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,233,4.22
112.165.41.174,12301,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,250,4.22
121.170.103.123,12433,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,220,4.09
220.83.246.53,12132,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,232,4.04
121.153.248.205,11084,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,328,3.96
220.87.237.210,16082,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,246,3.95
175.125.207.253,21318,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,262,3.89
118.42.9.31,12433,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,237,3.89
175.125.207.253,12498,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,295,3.87
221.157.238.95,12200,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,276,3.84
125.133.233.48,30046,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,248,3.69
222.121.231.212,12106,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,194,3.69
121.168.236.190,30042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,288,3.65
218.157.246.88,12590,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,216,3.61
121.176.72.54,30021,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,240,3.61
119.203.175.63,12220,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,198,3.60
14.50.174.164,12458,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,205,3.59
121.140.9.141,12328,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,227,3.59
211.55.202.96,12124,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,248,3.58
59.2.235.11,12536,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,234,3.55
220.87.237.210,12106,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,661,3.51
168.126.198.169,30061,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,275,3.49
125.133.233.48,30051,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,210,3.44
125.129.129.66,12245,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,301,3.35
175.125.207.253,12180,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,314,3.31
220.88.191.218,30031,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,225,3.30
121.149.20.40,17184,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,239,3.30
211.55.202.96,33890,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,289,3.26
175.125.207.253,12284,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,297,3.22
218.156.188.51,10230,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,318,3.22
61.81.112.29,18245,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,240,3.21
222.104.195.186,18108,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,196,3.11
175.198.183.100,10943,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,239,3.07
121.170.103.123,12273,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,246,3.06
121.134.192.125,10034,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,330,3.02
183.108.13.213,30025,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,571,2.92
220.87.237.210,12426,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,276,2.90
121.147.131.116,10243,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,247,2.88
112.160.244.140,18027,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,240,2.86
210.103.86.17,10083,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,347,2.85
121.170.103.123,12274,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,617,2.77
119.207.86.66,12209,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,609,2.71
119.199.164.158,30055,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,284,2.65
