IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
34.97.168.202,56241,TRUE,KIX,JP,Asia Pacific,Osaka,396982,GOOGLE-CLOUD-PLATFORM,355,12.25
38.47.121.241,31981,TRUE,NRT,JP,Asia Pacific,Tokyo,49901,Kuiper Network Ltd,231,10.24
220.92.119.132,14443,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,277,6.62
175.212.237.31,38881,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,338,6.56
59.23.167.64,10037,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,283,5.74
58.127.73.204,30009,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,168,5.21
211.229.111.39,12354,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,666,4.74
183.106.76.119,32414,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,255,4.64
220.81.132.214,29798,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,331,4.62
121.190.128.166,18090,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,305,4.57
140.238.12.52,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,520,4.56
112.166.159.172,12311,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,655,4.51
121.185.11.236,12111,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,277,4.28
183.108.184.228,36167,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,468,4.06
222.102.78.227,12575,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,288,3.92
152.70.245.66,12693,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,475,3.76
175.214.207.117,12442,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,608,3.62
211.51.185.137,21083,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,319,3.59
211.51.57.236,10909,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,317,3.48
220.86.228.109,12571,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,331,3.28
220.83.250.208,19091,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,755,3.18
61.79.191.99,12330,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,262,3.13
183.97.229.130,10230,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,358,3.05
121.190.128.166,12376,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,244,3.04
121.134.192.125,12350,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,588,3.02
222.96.230.108,12171,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,276,2.97
146.56.44.85,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,481,2.94
183.106.76.119,17776,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,242,2.91
222.119.56.48,12390,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,200,2.74
175.200.14.162,37443,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,592,2.60
14.44.107.239,20202,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,316,2.59
146.56.171.182,11659,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,534,2.56
